MockMarket,MobileTrafficSource,OSProductName,IsRewardsConsciousUser,Allsrpvs,Allbsrpvs,Allimprs,Allclicks,Allrevenue,DAU,ARPU,RPM
US,Chrome,all,False,31742390,7364698,21573579,1054193,861598.319999595,228379,3.7726687655152,0.0271434608420978
Others,Safari,ios,False,57267754,3280520,5992537,223879,56320.6897647152,348350,0.161678454900862,0.000983462521766005
EU,Chrome,android,False,37186534,10959066,41847361,3005653,1140336.98711402,418077,2.72757646824393,0.0306653206000327
US,Safari,all,True,2611283,778757,2354692,77940,81877.9299999975,15171,5.39700283435486,0.0313554409843734
EU,Sapphire,android,True,19231322,3105331,8897041,254546,96906.2166993772,70569,1.37321227025149,0.00503897842797168
US,Chrome,all,True,7600182,2039760,6069694,232827,226306.530000024,45840,4.9368789267021,0.029776461932099
Others,Chrome,all,True,29098601,834410,1637785,19946,5385.25640264361,64836,0.0830596644247581,0.000185069254794882
US,Chrome,ios,False,260,32,72,1,0.05,1,0.05,0.000192307692307692
Others,Chrome,all,False,106872531,4655594,8255874,327272,55168.8060143456,699740,0.0788418641414606,0.000516211279906393
Others,EdgeMobile,android,True,45143607,3547274,6476544,148754,51348.6333245591,276284,0.185854531295909,0.00113745083162183
Others,Chrome,android,True,29095398,834234,1637497,19946,5385.25640264362,64828,0.0830699142753689,0.000185089628354409
Others,Safari,android,False,76072,4586,7673,193,27.5693473138827,378,0.072934781253658,0.000362411232961967
Others,Safari,android,True,28090,1603,3186,1,0.114330694730401,86,0.00132942668291164,4.07015645177647E-06
US,Sapphire,all,True,50514357,9855083,27589764,584318,630047.010000028,184540,3.41414874823902,0.0124726324834745
EU,Chrome,all,False,37186556,10959071,41847372,3005653,1140336.98711403,418077,2.72757646824396,0.0306653024580719

