MockMarket,MobileTrafficSource,OSProductName,IsRewardsConsciousUser,Allsrpvs,Allbsrpvs,Allimprs,Allclicks,Allrevenue,DAU,ARPU,RPM
Others,Sapphire,all,True,79772985,3763995,8813583,85998,31861.56264926969,117254,0.27173113624498685,0.00039940291377174478
Others,Sapphire,android,True,67879417,2617890,6114651,50475,16274.526253366954,91241,0.17836856515565319,0.00023975642356160711
US,EdgeMobile,ios,False,15945834,4818256,14778322,652345,689275.80361401814,94200,7.3171529046074113,0.043226074196810162
Others,EdgeMobile,android,True,46163288,3590738,6579689,149266,51529.912402831018,276539,0.18633868063033068,0.0011162530797812977
US,EdgeMobile,android,True,23623539,6642748,20298750,869302,895867.35542461742,149592,5.9887384046246952,0.037922656525959865
EU,Sapphire,all,False,5497227,949481,2943504,167853,59548.230000007585,33173,1.7950812407683232,0.010832412414478715
Others,Chrome,android,False,108382420,4707464,8349180,328827,55358.133898948712,700523,0.079024006205290487,0.00051076672673436069
EU,Safari,android,False,9398,1946,4405,120,38.68,56,0.69071428571428573,0.0041157693126197062
Others,EdgeMobile,ios,False,22467168,2515546,5481558,186707,53873.450188044822,133804,0.40262959394371484,0.0023978745424454396
US,Safari,android,False,8022,1324,3038,52,33.559999999999995,32,1.0487499999999998,0.0041834953876838691
Others,Safari,ios,True,2543684,142670,297473,3267,1017.6826004382146,8586,0.11852813888169283,0.00040008216446626809
Others,Sapphire,all,False,15379896,876954,1516019,41338,9353.2813590505248,91004,0.10277879388873593,0.00060814984438454752
EU,EdgeMobile,ios,False,12058227,3638323,12993173,702891,291190.8339369173,73797,3.9458356564212274,0.02414872716668191
US,Sapphire,ios,True,33868192,5399150,15506105,336798,393924.55000005575,71477,5.5112071015859057,0.011631106555674887
Others,Chrome,ios,False,11903,558,827,8,1.5290956161278926,59,0.025916874849625297,0.00012846304428529721
Others,Safari,android,False,76480,4596,7686,193,27.569347313882723,378,0.072934781253658,0.00036047786759783895
EU,Safari,all,True,1416887,224727,693687,13957,6860.81999999991,3417,2.0078489903423793,0.0048421786635066237
EU,Safari,ios,False,15887037,3323260,11373554,675030,252574.05000006704,85359,2.9589621481046762,0.015898121846135756
Others,Safari,all,False,58136473,3363796,6130655,225641,56517.056987576128,349792,0.16157332639847719,0.00097214457759720182
US,Safari,all,True,5493250,1024976,3200504,79824,85789.439999998038,17206,4.9860188306403606,0.015617246620852508
US,Chrome,all,True,13292375,2390399,7229099,236134,232758.79000002544,49628,4.6900699202068479,0.017510699931353534
US,EdgeMobile,all,True,40129018,11838349,36564111,1484627,1613897.6013551387,218500,7.38625904510361,0.040217719789583155
Others,EdgeMobile,android,False,84336044,5745705,9492323,273396,64160.182046055052,579095,0.11079388018555686,0.00076076821964823308
Others,Safari,android,True,28413,1609,3191,1,0.114330694730401,86,0.0013294266829116394,4.0238867676908812E-06
Others,Chrome,android,True,31982362,867142,1718923,20088,5441.8073884904989,65141,0.0835388985199874,0.00017015026558984289
Others,Sapphire,ios,True,11893568,1146105,2698932,35523,15587.036395901639,26013,0.59920179894289927,0.0013105433454369318
EU,EdgeMobile,ios,True,6813951,2171686,7787742,385652,192562.30000000514,31222,6.1675196976492579,0.028260006565941718
Others,Safari,ios,False,58059993,3359200,6122969,225448,56489.487640262392,349415,0.16166875388939339,0.0009729503005669049
EU,Safari,all,False,15896435,3325206,11377959,675150,252612.73000007437,85414,2.957509658839,0.015891156098840675
Others,Chrome,all,True,31985588,867319,1719214,20088,5441.8073884904979,65148,0.083529922461019493,0.00017013310458730658
Others,EdgeMobile,all,True,51660715,4354040,8501544,208884,76570.398712588634,303337,0.25242683455229215,0.0014821784544133514
Others,EdgeMobile,all,False,106803212,8261251,14973881,460103,118033.63223410222,712897,0.16556898434711076,0.0011051505851163185
US,Chrome,ios,False,261,32,72,1,0.05,1,0.05,0.00019157088122605365
EU,Chrome,all,True,7597183,1577174,5308400,262714,125970.64000000821,39188,3.2145207716650046,0.016581230174395983
Others,EdgeMobile,ios,True,5497427,763302,1921855,59618,25040.486309755044,26799,0.93438136907179536,0.004554946579509841
US,Safari,ios,False,61757822,15445317,48456184,2291209,2225119.7063176022,285347,7.7979432281313708,0.036029763263309415
EU,Safari,ios,True,1416029,224703,693629,13957,6860.8199999999151,3416,2.0084367681498581,0.0048451126354050059
EU,Chrome,android,True,7597183,1577174,5308400,262714,125970.64000000797,39188,3.2145207716649988,0.016581230174395955
EU,Sapphire,all,True,53806002,7285413,20259980,333061,127995.56669937915,99161,1.2907853561317368,0.00237883436683103
